Easting,Northing,Weighting,Cluster_220,Cluster_480
680228.613887526,6406286.76067871,16.0,18,7
680228.613887526,6406582.40974529,16.0,25,5
680228.613887526,6406795.55750742,4.0,24,29
680228.613887526,6406951.97556967,4.0,21,29
680231.412965016,6408193.69320002,14.0,17,10
680231.412965016,6408472.36115583,16.0,22,13
680233.465005414,6407715.48099682,12.0,16,9
680233.465005414,6407924.11788125,3.0,15,8
680234.162119935,6407287.2290025,3.0,26,15
680234.413887525,6406286.76220389,16.0,18,7
680234.413887525,6406582.41125393,16.0,27,14
680234.413887525,6406795.55752564,4.0,24,29
680234.413887525,6406951.9756698,4.0,21,29
680237.212965016,6408193.69407814,14.0,17,10
680237.212965016,6408472.36265342,16.0,22,13
680237.212965016,6408684.47063603,4.0,28,16
680239.265005414,6407714.48448611,12.0,16,9
680239.265005414,6407923.12222723,3.0,15,8
680239.962119935,6407269.33548342,12.0,26,15
680240.213887526,6406286.76536069,16.0,19,11
680240.213887526,6406582.41210542,16.0,27,14
680240.213887526,6406795.55790251,4.0,24,29
680240.213887526,6406951.97572202,4.0,21,29
680243.012965015,6408472.36137322,16.0,29,17
680243.012965016,6408193.69431789,14.0,17,10
680243.012965016,6408684.46711566,4.0,28,16
680245.065005414,6407713.48802112,12.0,16,9
680245.065005414,6407905.33482772,4.0,15,8
680245.762119935,6407269.33501292,12.0,26,15
680246.013887526,6406286.76707642,16.0,19,11
680246.013887526,6406582.41260691,16.0,27,14
680246.013887526,6406795.55843299,4.0,24,29
680246.013887526,6406951.97582171,4.0,21,29
680248.812965016,6408193.69484354,14.0,20,12
680248.812965016,6408472.3606273,16.0,29,17
680248.812965016,6408684.46646045,4.0,28,16
680250.865005414,6407712.49108033,12.0,16,9
680250.865005414,6407904.33745264,4.0,15,8
680251.562119935,6407269.3338978,12.0,26,15
680251.813887526,6406286.76794155,16.0,19,11
680251.813887526,6406582.41426997,16.0,25,5
680251.813887526,6406795.55847597,4.0,24,29
680251.813887526,6406917.90198171,2.0,21,29
680254.612965016,6408193.69478249,14.0,20,12
680254.612965016,6408489.43701942,14.0,22,13
680254.612965016,6408684.46701241,4.0,28,16
680254.612965016,6408840.83671458,4.0,30,18
680256.665005414,6407711.49260633,12.0,16,9
680256.665005414,6407903.33994796,4.0,15,8
680257.362119935,6407269.33337424,12.0,26,15
680257.613887526,6406286.77002648,16.0,31,11
680257.613887526,6406582.41566357,16.0,25,5
680257.613887526,6406795.55836914,4.0,24,29
680257.613887526,6406917.8999969,2.0,21,29
680260.412965016,6408193.69441358,14.0,20,12
680260.412965016,6408489.43550968,14.0,22,13
680260.412965016,6408684.46580388,4.0,28,16
680260.412965016,6408840.8374992,4.0,30,18
680262.465005414,6407710.4945578,12.0,32,9
680262.465005414,6407902.34266948,4.0,15,8
680263.162119935,6407269.33283844,12.0,26,15
680263.413887526,6406286.77072665,16.0,31,11
680263.413887526,6406582.41787803,16.0,23,14
680263.413887526,6406795.55823478,4.0,24,29
680263.413887526,6406917.90004729,2.0,21,29
680266.212965016,6408193.69481181,14.0,20,12
680266.212965016,6408489.43439728,14.0,22,13
680266.212965016,6408684.46604911,4.0,28,16
680266.212965016,6408840.83791347,4.0,30,18
680268.265005414,6407709.49698382,12.0,16,9
680268.265005414,6407901.3499422,4.0,15,8
680268.962119935,6407269.33254099,12.0,26,15
680269.213887526,6405973.9835288,14.0,33,19
680269.213887526,6406286.77236467,16.0,18,7
680269.213887526,6406582.42015035,16.0,23,14
680269.213887526,6406795.5580497,4.0,24,29
680269.213887526,6406917.90004409,2.0,21,29
680272.012965016,6408193.69501033,14.0,20,12
680272.012965016,6408489.43403833,14.0,22,13
680272.012965016,6408684.46698756,4.0,28,16
680272.012965016,6408893.40279274,14.0,30,18
680274.065005414,6407708.50024672,12.0,16,9
680274.065005414,6407900.35180274,4.0,15,8
680274.762119935,6407286.47186432,14.0,26,15
680275.013887526,6405991.04002048,16.0,33,19
680275.013887526,6406286.77379832,16.0,19,11
680275.013887526,6406582.42297761,16.0,27,14
680275.013887526,6406795.55834063,4.0,24,29
680275.013887526,6406917.90205715,2.0,21,29
680277.812965016,6408193.69618858,14.0,20,12
680277.812965016,6408472.35827934,16.0,29,17
680277.812965016,6408684.46758701,4.0,28,16
680277.812965016,6408910.47366823,16.0,30,18
680279.865005414,6407690.61851896,10.0,32,9
680279.865005414,6407899.35510576,4.0,15,8
680280.562119935,6407286.47161027,14.0,26,15
680280.813887526,6405991.03957358,16.0,33,19
680280.813887526,6406286.77511454,16.0,19,11
680280.813887526,6406582.42666272,16.0,27,14
680280.813887526,6406795.55786765,4.0,24,29
680280.813887526,6406917.90008452,2.0,21,29
680283.612965016,6408193.69698145,14.0,20,12
680283.612965016,6408472.35807621,16.0,29,17
680283.612965016,6408684.46547895,4.0,28,16
680283.612965016,6408910.47376503,16.0,30,18
680285.665005414,6407689.62082755,10.0,32,9
680285.665005414,6407898.35852893,4.0,15,8
680286.362119936,6407286.47131338,14.0,26,15
680286.613887526,6405991.03976621,16.0,33,19
680286.613887526,6406286.77624629,16.0,19,11
680286.613887526,6406582.42936242,16.0,27,14
680286.613887526,6406795.55890316,4.0,24,29
680286.613887526,6406917.89809765,2.0,21,29
680289.412965016,6408176.62949754,16.0,20,12
680289.412965016,6408472.35458602,16.0,22,13
680289.412965016,6408684.46013524,4.0,28,16
680289.412965016,6408910.47428927,16.0,30,18
680291.465005414,6407688.62339356,10.0,32,9
680291.465005414,6407897.36136336,4.0,15,8
680292.162119935,6407286.47077114,14.0,26,15
680292.413887526,6405991.04048976,16.0,33,19
680292.413887526,6406286.77756745,16.0,31,11
680292.413887526,6406582.43204887,16.0,27,14
680292.413887526,6406795.55979858,4.0,24,29
680295.212965016,6408176.63078644,16.0,20,12
680295.212965016,6408472.35265551,16.0,29,17
680295.212965016,6408684.45750163,4.0,28,16
