Easting,Northing,Weighting,Cluster_240,Cluster_480,Cluster_Parent,Cluster_Sub
680339.412965016,6408472.35458602,16.0,71,42,42,1229
680339.412965016,6408684.46013524,4.0,73,43,43,1265
680339.412965016,6408910.47428927,16.0,74,44,44,1289
680341.465005414,6407688.62339356,10.0,87,50,50,1446
680341.465005414,6407897.36136336,4.0,89,22,22,694
680342.162119935,6407286.47077114,14.0,91,16,16,514
680342.413887526,6405991.04048976,16.0,18,10,10,321
680342.413887526,6406286.77756745,16.0,4,2,2,72
680342.413887526,6406582.43204887,16.0,20,11,11,360
680342.413887526,6406795.55979858,4.0,25,14,14,428
680345.212965016,6408176.63078644,16.0,84,49,49,1413
680345.212965016,6408472.35265551,16.0,71,42,42,1227
680345.212965016,6408684.45750163,4.0,73,43,43,1265
680345.212965016,6408910.47628851,16.0,74,44,44,1287
680347.265005414,6407687.63707078,10.0,87,50,50,1445
680347.265005414,6407896.36485504,4.0,89,22,22,693
680347.962119935,6407286.46961547,14.0,91,16,16,513
680348.213887526,6405991.04039598,16.0,18,10,10,320
680348.213887526,6406286.77885646,16.0,4,2,2,74
680348.213887526,6406582.43491007,16.0,20,11,11,362
680348.213887526,6406795.56035462,4.0,26,15,15,492
680351.012965016,6408176.63240144,16.0,84,49,49,1415
680351.012965016,6408472.35510613,16.0,71,42,42,1225
680351.012965016,6408684.4555116,4.0,73,43,43,1265
680351.012965016,6408910.47804949,16.0,74,44,44,1285
680353.065005414,6407686.64071378,10.0,86,50,50,1444
680353.065005414,6407895.36759142,4.0,89,22,22,693
680353.762119936,6407286.46781719,14.0,91,16,16,512
680354.013887526,6405991.04014571,16.0,17,9,9,290
680354.013887526,6406286.78003164,16.0,4,2,2,76
680354.013887526,6406582.43867759,16.0,20,11,11,364
680354.013887526,6406795.55978037,4.0,26,15,15,491
680356.812965016,6408176.63344479,16.0,84,49,49,1417
680356.812965016,6408472.35257678,16.0,71,42,42,1223
680356.812965016,6408684.45210745,4.0,73,43,43,1265
680356.812965016,6408910.47691947,16.0,74,44,44,1283
680358.865005414,6407721.12245902,3.0,86,50,50,1444
680358.865005414,6407894.37170584,4.0,89,22,22,692
680359.562119936,6407286.46605559,14.0,91,16,16,511
680359.813887526,6405991.04014937,16.0,17,9,9,288
680359.813887526,6406286.78107697,16.0,5,3,3,107
680359.813887526,6406582.44135453,16.0,20,11,11,366
680359.813887526,6406795.55881018,4.0,26,15,15,491
680362.612965016,6408176.63440902,16.0,84,49,49,1419
680362.612965016,6408472.35052299,16.0,70,42,42,1224
680362.612965016,6408684.44879734,4.0,73,43,43,1264
680362.612965016,6408910.4785478,16.0,74,44,44,1282
680364.665005414,6407736.94452382,4.0,86,50,50,1443
680364.665005414,6407893.37444565,4.0,89,22,22,692
680365.362119936,6407107.56806617,2.0,94,14,14,441
680365.362119936,6407286.46485736,14.0,91,16,16,510
680365.613887526,6405991.03995061,16.0,17,9,9,286
680365.613887526,6406286.78304719,16.0,5,3,3,105
680365.613887526,6406582.4436332,16.0,20,11,11,368
680365.613887526,6406795.55913839,4.0,26,15,15,491
680368.412965016,6408176.63528636,16.0,84,49,49,1421
680368.412965016,6408472.34826426,16.0,70,42,42,1226
