LocationX,LocationY,Weighting
681034.767833321,6408109.58756438,8
681034.767833321,6408109.58756438,8
681028.967833321,6408110.58514835,8
681028.967833321,6408110.58514835,8
681023.167833321,6408111.58219472,8
681023.167833321,6408111.58219472,8
681017.367833321,6408112.5779928,8
681017.367833321,6408112.5779928,8
681011.567833321,6408113.57564947,8
681011.567833321,6408113.57564947,8
681005.767833321,6408114.57302418,8
681005.767833321,6408114.57302418,8
680999.967833321,6408115.57016446,8
680999.967833321,6408115.57016446,8
680994.167833321,6408116.5671986,8
680994.167833321,6408116.5671986,8
680988.367833321,6408117.56449571,8
680988.367833321,6408117.56449571,8
680982.567833321,6408118.55941747,8
680982.567833321,6408118.55941747,8
680976.767833321,6408119.55792625,8
680976.767833321,6408119.55792625,8
680970.967833321,6408120.55487462,8
680970.967833321,6408120.55487462,8
680965.167833321,6408121.5519228,8
680965.167833321,6408121.5519228,8
680959.367833321,6408139.40950115,7
680959.367833321,6408139.40950115,7
680953.567833321,6408140.53018222,7
680947.767833321,6408141.52673464,7
680941.96783332,6408108.17896341,5
680941.96783332,6408108.17896341,5
680936.167833321,6408092.31900478,6
680936.167833321,6408092.31900478,6
680930.367833321,6408093.31449388,6
680930.367833321,6408093.31449388,6
680924.56783332,6408094.31199757,6
680924.56783332,6408094.31199757,6
680918.76783332,6408095.30851172,6
680918.76783332,6408095.30851172,6
680912.96783332,6408096.30758318,6
680912.96783332,6408096.30758318,6
680953.567833321,6408140.53018222,7
680947.767833321,6408141.52673464,7
680297.265005414,6407687.63707078,5
680297.265005414,6407687.63707078,5
680303.065005414,6407686.64071378,5
680303.065005414,6407686.64071378,5
680076.865005412,6407742.40391686,6
680076.865005412,6407742.40391686,6
680082.665005412,6407741.4068617,6
680082.665005412,6407741.4068617,6
680088.465005413,6407740.41258584,6
680088.465005413,6407740.41258584,6
680094.265005413,6407739.41607644,6
680094.265005413,6407739.41607644,6
680100.065005413,6407738.41882989,6
680100.065005413,6407738.41882989,6
680105.865005413,6407737.42118523,6
680105.865005413,6407737.42118523,6
680111.665005413,6407736.42339773,6
680111.665005413,6407736.42339773,6
680117.465005413,6407735.42616547,6
680117.465005413,6407735.42616547,6
680123.265005413,6407734.42948709,6
680123.265005413,6407734.42948709,6
680129.065005413,6407733.43325537,6
680129.065005413,6407733.43325537,6
680134.865005413,6407732.43678689,6
680134.865005413,6407732.43678689,6
680140.665005413,6407731.43908451,6
680140.665005413,6407731.43908451,6
680221.865005414,6407717.47720893,6
680221.865005414,6407717.47720893,6
680227.665005414,6407716.47831439,6
680227.665005414,6407716.47831439,6
680233.465005414,6407715.48099682,6
680233.465005414,6407715.48099682,6
680239.265005414,6407714.48448611,6
680239.265005414,6407714.48448611,6
680245.065005414,6407713.48802112,6
680245.065005414,6407713.48802112,6
680250.865005414,6407712.49108033,6
680250.865005414,6407712.49108033,6
680256.665005414,6407711.49260633,6
680256.665005414,6407711.49260633,6
680262.465005414,6407710.4945578,6
680262.465005414,6407710.4945578,6
680268.265005414,6407709.49698382,6
680268.265005414,6407709.49698382,6
680274.065005414,6407708.50024672,6
680274.065005414,6407708.50024672,6
680279.865005414,6407690.61851896,5
680279.865005414,6407690.61851896,5
680285.665005414,6407689.62082755,5
680285.665005414,6407689.62082755,5
680291.465005414,6407688.62339356,5
680291.465005414,6407688.62339356,5
680269.213887526,6405973.9835288,7
680269.213887526,6405973.9835288,7
680275.013887526,6405991.04002048,8
680275.013887526,6405991.04002048,8
680280.813887526,6405991.03957358,8
680280.813887526,6405991.03957358,8
680286.613887526,6405991.03976621,8
680286.613887526,6405991.03976621,8
680292.413887526,6405991.04048976,8
680292.413887526,6405991.04048976,8
680298.213887526,6405991.04039598,8
680298.213887526,6405991.04039598,8
680304.013887526,6405991.04014571,8
680304.013887526,6405991.04014571,8
680309.813887526,6405991.04014937,8
680309.813887526,6405991.04014937,8
680315.613887526,6405991.03995061,8
680315.613887526,6405991.03995061,8
680321.413887526,6405991.03907357,8
680321.413887526,6405991.03907357,8
680327.213887526,6405991.03747763,8
680327.213887526,6405991.03747763,8
